player_id,handle,league,recent_match_result,latest_news,nationality,past_teams,current_region,previous_regions,clutch_factor,role_versatility,roles,acs,kd_ratio,assist_score,map_awareness,team_survival_trade_efficiency,adr,agent_specialization
107760857934776654,XLR8,vct-challengers,,,INDIA,"[{""team_name"": ""Weird Esports"", ""period"": """"}]",,,0.0,0,[],0.0,0.0,0.0,0.0,0.0,0.0,{}
107760855673486130,LFT wink,vct-challengers,,,,,INTL,"[""INTL""]",0.0,0,[],0.0,0.0,0.0,0.0,0.0,0.0,{}
108409465677656936,rkgk,vct-challengers,"[{""date"": ""2022/05/196:30 am"", ""title"": ""VCT HK/TW S2: ChallengersGroup Stage \u22c5W2"", ""url"": ""https://www.vlr.gg/99527/ghetto-artist-vs-k7-esports-champions-tour-hong-kong-taiwan-stage-2-challengers-w2""}]",,TAIWAN,"[{""team_name"": ""Ghetto Artist"", ""period"": """"}]",,,0.0,1,"[""Sentinel""]",179.0,1.0,0.5,0.06,0.71,122.4,"{""sage"": 17}"
108274631233294428,Nano2,vct-challengers,"[{""date"": ""2023/11/188:00 am"", ""title"": ""UCAPlayoffs \u22c5GF"", ""url"": ""https://www.vlr.gg/281055/clownfiesta-vs-universitat-wien-university-challengers-arena-playoffs-gf""}, {""date"": ""2023/10/156:00 am"", ""title"": ""UCAPlayoffs \u22c5SF"", ""url"": ""https://www.vlr.gg/281053/universitat-wien-vs-saunieren-ber-studieren-university-challengers-arena-playoffs-sf""}]",,INTERNATIONAL,,,,0.0,2,"[""Sentinel"", ""Controller""]",224.5,1.27,0.64,0.15,0.8,136.7,"{""sage"": 40, ""viper"": 33}"
108748092708659604,kir1n,vct-challengers,,,JAPAN,"[{""team_name"": ""FENNEL"", ""period"": ""joined in December 2022""}, {""team_name"": ""FENNEL GC"", ""period"": ""joined in October 2022""}]",,,0.0,0,[],0.0,0.0,0.0,0.0,0.0,0.0,{}
110094767232241181,K11,vct-challengers,,,,,SEA,"[""SEA""]",0.0,0,[],0.0,0.0,0.0,0.0,0.0,0.0,{}
109760475175617117,maxxyy,vct-challengers,"[{""date"": ""2024/02/0310:30 pm"", ""title"": ""VCL 24 MY/SG: Split 1Qualifier Phase 2 \u22c5R7"", ""url"": ""https://www.vlr.gg/298543/322-vs-pdf-challengers-league-2024-malaysia-singapore-split-1-r7""}, {""date"": ""2024/02/039:45 pm"", ""title"": ""VCL 24 MY/SG: Split 1Qualifier Phase 2 \u22c5R6"", ""url"": ""https://www.vlr.gg/298534/322-vs-orgless-challengers-league-2024-malaysia-singapore-split-1-r6""}, {""date"": ""2024/02/038:30 pm"", ""title"": ""VCL 24 MY/SG: Split 1Qualifier Phase 2 \u22c5R5"", ""url"": ""https://www.vlr.gg/298525/322-vs-kuzu-esports-challengers-league-2024-malaysia-singapore-split-1-r5""}, {""date"": ""2024/02/0312:15 am"", ""title"": ""VCL 24 MY/SG: Split 1Qualifier Phase 2 \u22c5R4"", ""url"": ""https://www.vlr.gg/298516/todak-vs-322-challengers-league-2024-malaysia-singapore-split-1-r4""}, {""date"": ""2024/02/0211:00 pm"", ""title"": ""VCL 24 MY/SG: Split 1Qualifier Phase 2 \u22c5R3"", ""url"": ""https://www.vlr.gg/298505/nexga-vs-322-challengers-league-2024-malaysia-singapore-split-1-r3""}]",,SINGAPORE,"[{""team_name"": ""Louvre"", ""period"": """"}, {""team_name"": ""Deviant Esports"", ""period"": ""left in November 2022""}, {""team_name"": ""Reality Rift"", ""period"": ""joined in August 2020""}]",SEA,"[""SEA""]",0.0,4,"[""Duelist"", ""Initiator"", ""Sentinel"", ""Controller""]",275.0,1.71,0.735,0.18,0.87,175.6,"{""killjoy"": 254, ""cypher"": 213, ""sova"": 181, ""astra"": 176, ""chamber"": 68, ""omen"": 56, ""viper"": 53, ""jett"": 42, ""gekko"": 20, ""fade"": 19, ""skye"": 15}"
109636689646813212,Kicygo,vct-challengers,,"[{""title"": ""Cloud9, FNATIC, Team Vitality - News Almost Missed January 14"", ""time"": ""2023/01/14"", ""url"": ""https://www.vlr.gg/166722/cloud9-fnatic-team-vitality-news-almost-missed-january-14""}, {""title"": ""TENSTAR Nova, FULL SENSE, Soniqs - News Almost Missed Oct 1"", ""time"": ""2022/10/01"", ""url"": ""https://www.vlr.gg/145454/tenstar-nova-full-sense-soniqs-news-almost-missed-oct-1""}]",NETHERLANDS,"[{""team_name"": ""GTZ Esports"", ""period"": ""April 2023 \u2013 June 2023""}, {""team_name"": ""BLX UTD"", ""period"": ""joined in January 2023""}, {""team_name"": ""Sector One"", ""period"": ""January 2023 \u2013 January 2023""}, {""team_name"": ""Cyber Wolves Esports"", ""period"": ""Inactive from November 2022""}, {""team_name"": ""Auristralis"", ""period"": ""joined in June 2022""}, {""team_name"": ""XYZ"", ""period"": """"}]",,,0.0,0,[],0.0,0.0,0.0,0.0,0.0,0.0,{}
110094789466697218,Unhappy,vct-challengers,"[{""date"": ""2024/06/205:50 am"", ""title"": ""VCL 24 TW/HK: Split 2Group Stage \u22c5W3"", ""url"": ""https://www.vlr.gg/362309/team-kobolds-vs-hungkuang-falcon-challengers-league-2024-taiwan-hong-kong-split-2-w3""}, {""date"": ""2024/06/194:00 am"", ""title"": ""VCL 24 TW/HK: Split 2Group Stage \u22c5W3"", ""url"": ""https://www.vlr.gg/362303/hungkuang-falcon-vs-papa-esports-challengers-league-2024-taiwan-hong-kong-split-2-w3""}, {""date"": ""2024/06/134:00 am"", ""title"": ""VCL 24 TW/HK: Split 2Group Stage \u22c5W2"", ""url"": ""https://www.vlr.gg/359601/da-feng-gou-vs-hungkuang-falcon-challengers-league-2024-taiwan-hong-kong-split-2-w2""}, {""date"": ""2024/06/124:00 am"", ""title"": ""VCL 24 TW/HK: Split 2Group Stage \u22c5W2"", ""url"": ""https://www.vlr.gg/359597/roa-esport-vs-hungkuang-falcon-challengers-league-2024-taiwan-hong-kong-split-2-w2""}, {""date"": ""2024/06/064:00 am"", ""title"": ""VCL 24 TW/HK: Split 2Group Stage \u22c5W1"", ""url"": ""https://www.vlr.gg/357894/one-team-esports-vs-hungkuang-falcon-challengers-league-2024-taiwan-hong-kong-split-2-w1""}]",,TAIWAN,"[{""team_name"": ""ROA Esport"", ""period"": """"}]",SEA,"[""SEA""]",0.0,2,"[""Initiator"", ""Sentinel""]",221.0,1.25,0.6699999999999999,0.18,0.87,139.9,"{""killjoy"": 980, ""cypher"": 365, ""deadlock"": 47, ""gekko"": 22, ""skye"": 15}"
110077664881689808,citrous,vct-challengers,"[{""date"": ""2024/05/034:00 am"", ""title"": ""VCL 24 Japan: Split 2Advance: Premier \u22c5LR1 (A)"", ""url"": ""https://www.vlr.gg/341135/sparks-vs-hit-gaming-clan-challengers-league-2024-japan-split-2-advance-premier-lr1-a""}, {""date"": ""2024/05/032:00 am"", ""title"": ""VCL 24 Japan: Split 2Advance: Premier \u22c5UBQF (A)"", ""url"": ""https://www.vlr.gg/341129/hit-gaming-clan-vs-dopeness-challengers-league-2024-japan-split-2-advance-premier-ubqf-a""}, {""date"": ""2024/01/241:00 am"", ""title"": ""VCL 24 Japan: Split 1OQ - G \u22c5LF"", ""url"": ""https://www.vlr.gg/296126/murash-gaming-vs-hit-gaming-clan-challengers-league-2024-japan-split-1-oq-g-lf""}, {""date"": ""2024/01/233:10 am"", ""title"": ""VCL 24 Japan: Split 1OQ - G \u22c5LR3"", ""url"": ""https://www.vlr.gg/296125/hit-gaming-clan-vs-we-have-problem-challengers-league-2024-japan-split-1-oq-g-lr3""}, {""date"": ""2024/01/231:00 am"", ""title"": ""VCL 24 Japan: Split 1OQ - G \u22c5LR2"", ""url"": ""https://www.vlr.gg/296123/hit-gaming-clan-vs-solara-challengers-league-2024-japan-split-1-oq-g-lr2""}]",,JAPAN,"[{""team_name"": ""Les Sixz"", ""period"": """"}, {""team_name"": ""Focus e-Sports"", ""period"": """"}, {""team_name"": ""No Country"", ""period"": """"}, {""team_name"": ""Sengoku Gaming"", ""period"": ""February 2021 \u2013 March 2021""}]",,,0.0,3,"[""Duelist"", ""Initiator"", ""Sentinel""]",242.5,1.41,0.665,0.24,0.79,164.0,"{""breach"": 755, ""skye"": 403, ""sage"": 344, ""kayo"": 248, ""reyna"": 150, ""raze"": 107, ""gekko"": 51, ""jett"": 50, ""fade"": 39, ""chamber"": 17}"
